scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-10,10.12,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-11,10.09,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-12,10.06,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-14,10.04,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-17,10.11,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-18,10.17,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-19,10.19,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-20,10.15,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-21,10.26,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-24,10.32,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-25,10.36,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-26,10.41,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-27,10.47,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-28,10.45,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-05-31,10.52,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-01,10.53,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-02,10.56,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-03,10.65,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-04,10.67,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-07,10.72,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-08,10.75,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-09,10.69,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-10,10.8,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-11,10.8,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-14,10.82,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-15,10.85,Regular
